,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_class_weight,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.20541181564331054,0.011200666427612305,0.37201911915365343,0.9914922441186735,{1: 1},10,"{'class_weight': {1: 1}, 'n_estimators': 10}",15,0.39823008849557523,0.9935004642525533,0.32727272727272727,0.9870967741935484,0.33064516129032256,0.9907663896583564,0.41739130434782606,0.994392523364486,0.3865546218487395,0.9917050691244239,0.06374871893820826,0.0009798611565797078,0.03652625584036749,0.0025431037278540484
1,1.0584604740142822,0.04980292320251465,0.40698562563697455,0.9972592233108049,{1: 1},50,"{'class_weight': {1: 1}, 'n_estimators': 50}",9,0.3963963963963964,0.9983805668016195,0.3925233644859813,0.995172968624296,0.36363636363636365,0.9967715899919289,0.47368421052631576,0.9975825946817083,0.40869565217391307,0.9983883964544722,0.239112484302678,0.012303617779816969,0.03647269741821053,0.001202269281562972
2,1.9913140296936036,0.10280585289001465,0.40151987764691005,0.9975964075757314,{1: 1},100,"{'class_weight': {1: 1}, 'n_estimators': 100}",11,0.4051724137931034,0.9991961414790996,0.3925233644859813,0.9967923015236567,0.35135135135135137,0.9967974379503602,0.4375,0.9975980784627703,0.42105263157894735,0.9975980784627703,0.6266514595699333,0.025318501622499635,0.029280415164143873,0.0008768230323801493
3,2.9625694274902346,0.14060802459716798,0.4167618672490831,0.9983964003493029,{1: 1},150,"{'class_weight': {1: 1}, 'n_estimators': 150}",6,0.42201834862385323,0.9991961414790996,0.41284403669724773,0.9991941982272361,0.35514018691588783,0.9975942261427426,0.46017699115044247,0.9976,0.4336283185840708,0.9983974358974359,0.8448116470355904,0.02707616192787826,0.03466635898442149,0.0007146755033053143
4,0.16500940322875976,0.0100006103515625,0.37593770659805037,0.9893812154010299,{1: 5},10,"{'class_weight': {1: 5}, 'n_estimators': 10}",13,0.3611111111111111,0.9907321594068582,0.40860215053763443,0.9869158878504672,0.32954545454545453,0.987985212569316,0.43137254901960786,0.9905838041431262,0.3490566037735849,0.9906890130353817,0.01767583678593851,0.0010955398370512545,0.03803689118135954,0.001612964220287155
5,0.8356477737426757,0.04760274887084961,0.41668288576617857,0.9912474411878612,{1: 5},50,"{'class_weight': {1: 5}, 'n_estimators': 50}",7,0.4387755102040816,0.9928057553956835,0.42696629213483145,0.9888888888888889,0.3684210526315789,0.9904534606205251,0.44329896907216493,0.9920445505171042,0.40594059405940597,0.9920445505171042,0.09870042771554506,0.014278253794688682,0.02737368312928106,0.001406576256313744
6,2.053117513656616,0.09980564117431641,0.4138251764772263,0.9909826211066,{1: 5},100,"{'class_weight': {1: 5}, 'n_estimators': 100}",8,0.40860215053763443,0.9920760697305864,0.40476190476190477,0.9889328063241106,0.3978494623655914,0.98973954222573,0.4479166666666667,0.9920823436262867,0.41,0.9920823436262867,0.4860920236827549,0.02487231936315008,0.01755752962559365,0.0013683124555807136
7,2.6465513706207275,0.159409236907959,0.4172330852578123,0.9909869997524581,{1: 5},150,"{'class_weight': {1: 5}, 'n_estimators': 150}",5,0.44329896907216493,0.9920760697305864,0.4024390243902439,0.988950276243094,0.3829787234042553,0.9897314375987362,0.4479166666666667,0.9920886075949367,0.4095238095238095,0.9920886075949367,0.4402026626000961,0.048622105962926467,0.02478916027390666,0.001366589336262827
8,0.19881138801574708,0.013400793075561523,0.3746223594944512,0.9883321347605654,{1: 10},10,"{'class_weight': {1: 10}, 'n_estimators': 10}",14,0.41284403669724773,0.98992673992674,0.33663366336633666,0.9833641404805915,0.32978723404255317,0.9870609981515711,0.41,0.9915413533834586,0.3838383838383838,0.9897674418604652,0.07193844146818848,0.005004314189594393,0.035357811443016175,0.002870495139209147
9,1.0114577293395997,0.05980348587036133,0.43078253862776034,0.9912360061361947,{1: 10},50,"{'class_weight': {1: 10}, 'n_estimators': 50}",1,0.44329896907216493,0.9927942353883107,0.44155844155844154,0.988880063542494,0.3707865168539326,0.9904229848363927,0.4782608695652174,0.9920508744038156,0.42,0.9920318725099602,0.29048427641887364,0.009765780905646953,0.035332782623412474,0.0014097489932155148
10,1.8959084033966065,0.11540660858154297,0.4220183395938065,0.9909873678841267,{1: 10},100,"{'class_weight': {1: 10}, 'n_estimators': 100}",3,0.45161290322580644,0.9920760697305864,0.425,0.988950276243094,0.38636363636363635,0.98973954222573,0.4666666666666667,0.9920823436262867,0.3804347826086957,0.9920886075949367,0.5233388376093352,0.03174822090891045,0.03428778843240706,0.001364095576914382
11,2.9249672889709473,0.1574090003967285,0.42436045789122695,0.9909886206778568,{1: 10},150,"{'class_weight': {1: 10}, 'n_estimators': 150}",2,0.45054945054945056,0.9920760697305864,0.43037974683544306,0.988950276243094,0.3978494623655914,0.98973954222573,0.4666666666666667,0.9920886075949367,0.3763440860215054,0.9920886075949367,0.8431754776630841,0.053255691494296035,0.03322618090338818,0.0013651031383798296
12,0.1924109935760498,0.013600730895996093,0.3681275198437834,0.9879470932365285,{1: 15},10,"{'class_weight': {1: 15}, 'n_estimators': 10}",16,0.43243243243243246,0.9916743755781684,0.2727272727272727,0.9834558823529411,0.36792452830188677,0.9880073800738007,0.45121951219512196,0.9867924528301887,0.3163265306122449,0.989805375347544,0.01785142905803358,0.0044544389055237756,0.06756449145317193,0.002787602921148395
13,0.8410480499267579,0.04880290031433106,0.39943697395971045,0.9913917574317666,{1: 15},50,"{'class_weight': {1: 15}, 'n_estimators': 50}",12,0.43209876543209874,0.993574297188755,0.39080459770114945,0.988880063542494,0.3333333333333333,0.9904153354632588,0.4631578947368421,0.9920382165605095,0.37777777777777777,0.9920508744038156,0.07789172984542231,0.008085070160549502,0.04480990289094328,0.0016048570299442208
14,1.9215100288391114,0.11540660858154297,0.40586261355028896,0.9909856222721588,{1: 15},100,"{'class_weight': {1: 15}, 'n_estimators': 100}",10,0.4318181818181818,0.9920760697305864,0.3804347826086957,0.9889415481832543,0.37777777777777777,0.98973954222573,0.45555555555555555,0.9920886075949367,0.38372093023255816,0.9920823436262867,0.5465681493345556,0.05197459494208281,0.03183845424089033,0.001366704384531879
15,2.689353847503662,0.14760842323303222,0.4182970031916499,0.9909873678841267,{1: 15},150,"{'class_weight': {1: 15}, 'n_estimators': 150}",4,0.44565217391304346,0.9920760697305864,0.4044943820224719,0.988950276243094,0.3888888888888889,0.98973954222573,0.4588235294117647,0.9920886075949367,0.39361702127659576,0.9920823436262867,0.4617941136782283,0.026448583591600457,0.028478031069324963,0.001364095576914382
